6.244;162371;
7.247;22581;
9.246;269491;
19.246;115559;
17.243;417774;
26.240;168084;
42.243;19600;
29.240;35519;
45.239;61995;
48.236;4185;
54.234;243451;
55.233;263180;
56.228;314270;
110.257;156988;
112.257;232463;
70.242;447126;
58.232;350851;
58.228;44651;
65.233;308888;
66.232;39209;
67.233;448962;
70.234;13708;
67.231;349223;
65.228;393085;
69.228;477126;
71.236;260511;
79.235;128341;
72.234;4281;
72.232;213250;
76.232;78007;
71.230;386514;
73.228;116094;
79.233;6055;
80.229;649530;
79.228;34885;
81.230;3151;
82.229;136643;
81.228;431729;
82.228;92025;
87.229;320097;
98.232;1366;
94.228;56524;
99.229;129411;
113.228;2033;
115.246;1320;
129.250;211;
117.239;127429;
114.228;88602;
123.233;89068;
124.233;473155;
123.230;292925;
122.228;586098;
159.245;105167;
161.245;282222;
162.245;428448;
158.244;27931;
160.244;300714;
167.245;181797;
163.243;207718;
173.242;42512;
174.242;1189;
196.249;259443;
198.249;118054;
187.243;341;
185.242;214864;
186.242;86278;
187.242;244042;
188.243;622015;
189.243;916;
190.244;292588;
191.244;72460;
190.243;488341;
191.243;493;
188.242;886;
189.242;230025;
190.242;132559;
193.248;32027;
194.248;41656;
194.247;47872;
192.246;82438;
192.245;153935;
193.246;601320;
195.248;279254;
195.247;2492;
197.248;317948;
195.245;92613;
197.246;264636;
198.245;417769;
192.244;93791;
193.244;81157;
194.244;168313;
194.243;45071;
192.242;195716;
193.242;185343;
195.243;68496;
197.244;844536;
198.243;10790;
195.242;237581;
196.242;687707;
197.242;113737;
198.242;254895;
174.238;212732;
176.238;242215;
173.237;316131;
173.235;299294;
174.237;306633;
175.237;803643;
175.236;70471;
176.237;61521;
177.236;148479;
174.235;6047;
175.235;64145;
177.235;3986;
178.238;308725;
184.241;438656;
184.240;653514;
178.237;183791;
178.236;28462;
179.235;116543;
171.234;15579;
171.233;249816;
172.234;625970;
173.234;115003;
172.233;246308;
173.233;132285;
171.231;107961;
172.232;82343;
173.232;136667;
172.231;204094;
174.234;192852;
175.234;214554;
174.233;37279;
176.234;220231;
177.234;215447;
176.233;34172;
177.233;622845;
174.232;307801;
176.232;594602;
177.232;636673;
176.231;144297;
177.231;293800;
176.230;1448;
177.230;325964;
176.228;28726;
177.228;52345;
178.234;264302;
178.233;361623;
179.234;405140;
180.234;337789;
179.233;19808;
180.233;334992;
178.232;100454;
178.231;35488;
179.232;612;
180.232;715964;
179.231;471;
180.231;121505;
181.232;163064;
181.231;38624;
182.231;213713;
184.232;120953;
183.231;432145;
184.231;93994;
178.230;30166;
178.229;3906;
179.230;127228;
179.229;853516;
180.229;300599;
178.228;101222;
179.228;673635;
180.228;234054;
181.230;116357;
182.230;506083;
181.229;499014;
182.229;102865;
183.230;162011;
184.230;112554;
183.229;219152;
184.229;188760;
181.228;260517;
182.228;115704;
183.228;35287;
184.228;144393;
185.241;49296;
185.240;1091;
186.241;214156;
187.240;125176;
185.239;257700;
185.238;216054;
187.239;446204;
186.238;435944;
187.238;157618;
189.241;270429;
188.240;595854;
189.240;99363;
190.241;247759;
191.241;155810;
190.240;108794;
191.240;30643;
188.239;404820;
189.239;507581;
188.238;262652;
189.238;33964;
190.239;74871;
191.238;22411;
189.237;266943;
188.236;240336;
189.236;564675;
190.237;250694;
191.237;744117;
188.235;515821;
189.235;71098;
190.235;214784;
191.235;34583;
192.240;101893;
194.241;11257;
193.240;230713;
194.240;220368;
192.239;401404;
192.238;134094;
193.239;111965;
194.239;26949;
193.238;237994;
194.238;15782;
195.241;139025;
196.241;154108;
195.240;119033;
196.240;446034;
197.240;10384;
198.240;230513;
195.239;70779;
196.239;56000;
195.238;147457;
196.238;26983;
197.239;302496;
198.239;143875;
192.237;374408;
192.236;86464;
193.237;163755;
194.237;289851;
193.236;31403;
194.236;442066;
192.235;445930;
193.235;86373;
194.235;153741;
196.237;232835;
195.236;83679;
196.236;301940;
198.237;58686;
186.233;211604;
187.233;404489;
185.232;631792;
185.231;111231;
186.232;240677;
187.232;281037;
186.231;164012;
187.231;17660;
188.234;61800;
189.234;170218;
188.233;224170;
189.233;239730;
